,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
38,1697.24,1698.32,1699.4,1700.48,1701.61,1702.79,1704.01,1705.27,1706.52,1707.75,1708.92,1710.04,1711.1,1712.11,1713.08,1714.01,1714.9,1715.76,1716.59,1717.4,1718.19,1718.97,1719.74,1720.51,1721.29,1722.07,1722.85,1723.64,1724.42,1725.19,1725.96,1726.72,1727.47,1728.22,1728.97,1729.73,1730.51,1731.31,1732.13,1732.97,1733.83,1734.71,1735.6,1736.52,1737.45,1738.39,1739.35,1740.31,1741.29,1742.28,1743.27,1744.28,1745.31,1746.34,1747.39,1748.44,1749.48,1750.52,1751.53,1752.52,1753.49,1754.44,1755.37,1756.27,1757.16,1758.03,1758.87,1759.71,1760.53,1761.35,1762.17,1763.01,1763.87,1764.76,1765.67,1766.61,1767.58,1768.55,1769.53,1770.5,1771.45,1772.37,1773.26,1774.11,1774.91,1775.69,1776.43,1777.17,1777.91,1778.68,1779.49,1780.38,1781.35,1782.43,1783.62,
39,1718.09,1718.81,1719.9,1721.01,1722.15,1723.33,1724.54,1725.74,1726.92,1728.05,1729.15,1730.24,1731.31,1732.35,1733.32,1734.24,1735.12,1736,1736.91,1737.84,1738.79,1739.73,1740.65,1741.53,1742.38,1743.21,1744,1744.76,1745.49,1746.18,1746.85,1747.52,1748.23,1749,1749.84,1750.76,1751.73,1752.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1720.01,1720.64,1721.54,1722.53,1723.61,1724.77,1725.98,1727.21,1728.45,1729.66,1730.86,1732.04,1733.2,1734.32,1735.38,1736.41,1737.41,1738.39,1739.34,1740.25,1741.1,1741.89,1742.64,1743.35,1744.05,1744.73,1745.41,1746.1,1746.8,1747.54,1748.33,1749.16,1749.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1753.16,1754.95,1756.18,1757.26,1758.26,1759.22,1760.15,1761.07,1761.99,1762.91,1763.84,1764.77,1765.69,1766.62,1767.54,1768.48,1769.45,1770.43,1771.45,1772.49,1773.54,1774.58,1775.6,1776.61,1777.65,1778.72,1779.85,1781.01,1782.17,1783.25,1784.2,1785.02,1785.8,1786.59,1787.4,1788.18,1788.91,1789.54,1788.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1757.99,1758.59,1759.46,1760.37,1761.3,1762.26,1763.26,1764.34,1765.52,1766.74,1767.97,1769.2,1770.39,1771.56,1772.68,1773.77,1774.83,1775.88,1776.92,1777.95,1778.97,1779.97,1780.95,1781.89,1782.79,1783.65,1784.47,1785.24,1785.95,1786.59,1787.14,1787.62,1788.04,1788.46,1788.93,1789.52,1790.26,1791.16,1792.21,1793.36,1794.65,1796.22,1797.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1800.68,1803.1,1804.26,1805.27,1806.26,1807.24,1808.2,1809.13,1810,1810.83,1811.63,1812.42,1813.23,1814.07,1814.94,1815.83,1816.76,1817.71,1818.68,1819.67,1820.68,1821.67,1822.64,1823.57,1824.47,1825.36,1826.24,1827.13,1828.02,1828.87,1829.68,1830.44,1831.15,1831.85,1832.57,1833.31,1834.07,1834.8,1835.47,1836.06,1836.55,1836.82,1834.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1818.17,1818.39,1819.39,1820.41,1821.49,1822.64,1823.85,1825.08,1826.3,1827.47,1828.58,1829.63,1830.63,1831.57,1832.49,1833.4,1834.3,1835.22,1836.14,1837.08,1838.04,1838.99,1839.95,1840.9,1841.83,1842.75,1843.66,1844.57,1845.49,1846.42,1847.38,1848.36,1849.38,1850.42,1851.49,1852.57,1853.67,1854.77,1855.88,1857.01,1858.15,1859.29,1860.44,1861.59,1862.74,1863.87,1864.96,1866.03,1867.05,1868.02,1868.97,1869.89,1870.79,1871.7,1872.61,1873.54,1874.47,1875.42,1876.38,1877.33,1878.28,1879.21,1880.13,1881.02,1881.87,1882.7,1883.5,1884.28,1885.04,1885.79,1886.55,1887.31,1888.08,1888.87,1889.65,1890.4,1890.75,,,,,,,,,,,,,,,,,,,
45,1831.92,1832.46,1833.36,1834.3,1835.33,1836.5,1837.81,1839.23,1840.71,1842.15,1843.51,1844.77,1845.91,1846.97,1847.96,1848.9,1849.82,1850.72,1851.63,1852.54,1853.46,1854.38,1855.3,1856.21,1857.09,1857.93,1858.74,1859.5,1860.24,1860.95,1861.66,1862.37,1863.1,1863.86,1864.65,1865.48,1866.35,1867.26,1868.19,1869.13,1870.09,1871.05,1872,1872.94,1873.87,1874.79,1875.71,1876.62,1877.54,1878.46,1879.39,1880.33,1881.28,1882.23,1883.18,1884.11,1885.03,1885.94,1886.83,1887.71,1888.58,1889.45,1890.31,1891.17,1892.02,1892.87,1893.7,1894.5,1895.25,1895.94,1896.53,1896.95,1896.51,,,,,,,,,,,,,,,,,,,,,,,
46,1844.23,1845.21,1846.26,1847.36,1848.55,1849.83,1851.18,1852.54,1853.87,1855.14,1856.33,1857.45,1858.53,1859.59,1860.63,1861.66,1862.66,1863.62,1864.54,1865.41,1866.24,1867.05,1867.85,1868.63,1869.4,1870.16,1870.89,1871.62,1872.34,1873.06,1873.79,1874.53,1875.27,1876,1876.71,1877.41,1878.11,1878.83,1879.6,1880.45,1881.37,1882.34,1883.28,1884.08,1884.67,1884.96,1884.88,1884.39,1883.5,1882.36,1881.02,1879.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,1998.59,1997.35,1995.84,1994.93,1994.26,1993.64,1992.82,1991.41,1989.95,1990.04,1990.41,1990.8,1991.29,1992.04,1992.97,1993.85,1994.61,1995.29,1995.92,1996.5,1997.04,1997.54,1998,1998.42,1998.79,1999.11,1999.38,1999.65,1999.93,2000.28,2000.73,2001.24,2001.72,2002.11,2002.46,2002.87,2003.46,2005.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
